week,link
13,https://www.espn.com/college-football/story/_/id/28099946/sp+-rankings-week-12-battle-1-loss-teams
12,https://www.espn.com/college-football/story/_/id/28050163/sp+-rankings-week-11-big-games-mean-big-changes
11,https://www.espn.com/college-football/story/_/id/27997932/sp+-rankings-week-10-getting-ready-monster-week-11
10,https://www.espn.com/college-football/story/_/id/27940007/sp+-rankings-week-9-lsu-catch-ohio-state-alabama
9,https://www.espn.com/college-football/story/_/id/27888218/sp+-rankings-week-8-wild-week-leads-big-shakeups
8,https://www.espn.com/college-football/story/_/id/27836054/sp+-rankings-week-7-ohio-state-takes-top-spot
7,https://www.espn.com/college-football/story/_/id/27781603/sp+-rankings-week-6-bama-ohio-state-neck-neck
6,https://www.espn.com/college-football/story/_/id/27727611/sp+-rankings-week-5-ou-ohio-state-keep-climbing
5,https://www.espn.com/college-football/story/_/id/27677435/sp+-rankings-week-4-ohio-state-move
4,https://www.espn.com/college-football/story/_/id/27624402/sp+-rankings-week-3-georgia-moves-ahead-clemson
3,https://www.espn.com/college-football/story/_/id/27569383/sp+-rankings-week-2-oregon-jumps-10-spots
2,https://www.espn.com/college-football/story/_/id/27529950/sp+-rankings-week-1-wisconsin-makes-leap
1,https://www.espn.com/college-football/story/_/id/27466530/preseason-sp+-rankings-alabama-tops-clemson
